,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
72,Maruhachi Ra-men,4.4,755,Ramen,vancouver,BC,"780 Bidwell Street Vancouver, BC V6G 2J6 Canada",49.2905702,-123.1333439,BC,25
73,The Greek By Anatoli,3.8,253,Greek,vancouver,BC,"1043 Mainland Street Vancouver, BC V6B Canada",49.2762132,-123.1198874,BC,25
74,Nuba in Gastown,4.1,743,Mediterranean,vancouver,BC,"207 W Hastings Street Vancouver, BC V6B 1K6 Canada",49.2829632,-123.1096299,BC,45
75,Bodega On Main,3.9,212,Spanish,vancouver,BC,"1014 Main Street Vancouver, BC V6A 2W1 Canada",49.2754689,-123.0994804,BC,25
76,The Mexican Antojitos Y Cantina,4.3,402,Mexican,vancouver,BC,"1049 Granville Street Vancouver, BC V6Z 1L4 Canada",49.2787855,-123.1240318,BC,25
77,Mott 32,3.9,176,Chinese,vancouver,BC,"1161 W Georgia Street Vancouver, BC V6E 0C6 Canada",49.2867693,-123.124256,BC,50
78,Banana Leaf,3.7,299,Malaysian,vancouver,BC,"820 W Broadway Vancouver, BC V5Z 1J8 Canada",49.2631202,-123.1224844,BC,25
79,Burger Crush,4.6,19,Burgers,vancouver,BC,"755 Nelson Street Vancouver, BC V6Z 1V3 Canada",49.2797631,-123.1234938,BC,25
80,Micha,4.4,42,Chinese,vancouver,BC,"120-4751 Garden City Road Richmond, BC V6X 3M7 Canada",49.1778683,-123.1255409,BC,25
81,Osteria Savio Volpe,4.2,421,Italian,vancouver,BC,"615 Kingsway Vancouver, BC V5T 3K5 Canada",49.2574425,-123.0909434,BC,45
82,Nook,3.9,163,Italian,vancouver,BC,"1525 Yew Street Vancouver, BC V6K 3E4 Canada",49.2722315,-123.155229,BC,25
83,Brix & Mortar,4.0,318,Wine Bars,vancouver,BC,"1137 Hamilton Street Vancouver, BC V6B 5P6 Canada",49.2756123,-123.1219105,BC,45
84,Les Faux Bourgeois,4.0,452,French,vancouver,BC,"663 E 15th Avenue Vancouver, BC V5T 2R6 Canada",49.2573233,-123.0896351,BC,25
85,Mandarin Hong Kong Cafe,3.3,49,Asian Fusion,vancouver,BC,"904 W King Edward Avenue Vancouver, BC V5Z 2E2 Canada",49.248413,-123.1251604,BC,25
86,Sopra Sotto,4.0,139,Pizza,vancouver,BC,"1510 Commercial Drive Vancouver, BC V5L 2Y7 Canada",49.2711706,-123.0693309,BC,25
87,Kissa Tanto,4.1,279,Japanese,vancouver,BC,"263 E Pender Street Vancouver, BC V6A 1T8 Canada",49.2806222,-123.09812,BC,50
88,PiDGiN,4.0,320,Japanese,vancouver,BC,"350 Carrall Street Vancouver, BC V6B 2J3 Canada",49.28188100000001,-123.104145,BC,45
89,Sura Korean Cuisine,4.1,428,Korean,vancouver,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada",49.2888512,-123.1316371,BC,25
90,Sura Korean Cuisine,4.1,428,Korean,vancouver,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292923,-123.3647259,BC,25
91,Bali Thai,4.5,91,Indonesian,vancouver,BC,"88 W Pender Street Vancouver, BC V6B 1R3 Canada",49.2804064,-123.1069714,BC,10
