restaurant_name,address
Dim Sum Garden Restaurant,"2677 Pembina Highway Winnipeg, MB R3T 2H5 Canada"
Resto Gare Bistro,"630 Des Meurons Street Winnipeg, MB R2H 2P9 Canada"
Lot 88,"2005 Pembina Hwy Winnipeg, MB R3T 5W7 Canada"
Bailey's,"185 Lombard Avenue Winnipeg, MB R3B 0W4 Canada"
Bistro 1800,"1800 Wellington Ave Winnipeg, MB R3H 1B2 Canada"
Sukhothai,"191 Osborne Street Winnipeg, MB R3L 1Z2 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Ta.Ke Sushi Take-Out,"1235 Pembina Highway Winnipeg, MB R3T 2A9 Canada"
Taste of Mediterranean,"244 Kennedy Street Winnipeg, MB R3C 1T1 Canada"
Rae's Bistro,"9 - 925 Headmaster Row Winnipeg, MB R2G 4J4 Canada"
Wako Sushi Cafe,"875 Corydon Avenue Winnipeg, MB R3M 0W7 Canada"
Ben & Florentine,"155 Scurfield Boulevard Winnipeg, MB R3Y 1L6 Canada"
VJ's Drive-In,"170 Main Street Winnipeg, MB R3C 1A6 Canada"
Ramallah Cafe After Hours,"325 Pembina Highway Winnipeg, MB R3L 2E3 Canada"
Clay Oven East Indian Restaurants,"1 Portage Avenue E 3rd Floor Winnipeg, MB R3B 3N3 Canada"
Bangkok Thai Restaurant,"100 Osborne Street Suite 208,Floor 2 Winnipeg, MB R3L 1Y5 Canada"
Tito Boy Restaurant,"M-730 Saint Anne's Road Winnipeg, MB R2N 0A2 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Sizzling Dhaba,"628A St Anne's Rd Winnipeg, MB R2C 0A1 Canada"
Pho Cuu Long Restaurant,"757 St Mary's Road Winnipeg, MB R2M 3N6 Canada"
Vientiane Restaurant,"12-208 Marion Street Winnipeg, MB R2H 0T6 Canada"
Next Stop Cafe,"333 Pembina Hwy Winnipeg, MB R3L 2E4 Canada"
Nuburger,"472 Stradbrook Avenue Winnipeg, MB R3L 0J9 Canada"
Ashur Restaurant,"19-584 Pembina Highway Winnipeg, MB R3M 3X7 Canada"
Leopold's Tavern - Winnipeg,"1347 Henderson Highway Winnipeg, MB R2G 1M5 Canada"
Langside Grocery,"164 Langside Street Winnipeg, MB R3C 1Z4 Canada"
Pho Yo,"513 Saint Mary's Road Unit B Winnipeg, MB R2M 3L2 Canada"
Poké Mono,"77 Edmonton Street Winnipeg, MB R3C 4H8 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Delicious Vegetarian Restaurant,"1467 Pembina Highway Winnipeg, MB R3T 2C5 Canada"
Engocha Food Truck,No data or change code
Mesob Ethiopian Eats,"200-121 Osborne Street Winnipeg, MB R3L 1Y4 Canada"
Clay Oven,"240-1600 Kenaston Common Winnipeg, MB R3N 1V4 Canada"
Southdale Village Family Restaurant,"35 Lakewood Boulevard Winnipeg, MB R2J 2M8 Canada"
K &S Island Grill,"2069 Portage Avenue Winnipeg, MB R3J 0K6 Canada"
Roughage Eatery,"126 Sherbrook Street Winnipeg, MB R3G 1K9 Canada"
The Rib Room,"330 York Ave Winnipeg, MB R3C 0N9 Canada"
Famous Dave's Bar-B-Que,"11 Reenders Drive Unit 70 Winnipeg, MB R2C 5K5 Canada"
Feast Cafe Bistro,"587 Ellice Avenue Winnipeg, MB R3B 1Z7 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Wienerpeg,"1 Forks Market Road Winnipeg, MB R3C 4L9 Canada"
Helios Restaurant,"241 St Mary's Road Winnipeg, MB R2H 1J4 Canada"
Cilantro's Restaurant,"725 Gateway Road Winnipeg, MB R2K 2Y3 Canada"
VA Cafe,"171 McDermot Avenue Winnipeg, MB R3B 0S1 Canada"
