restaurant_name,address
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Le Rouge,"15 Lakelands Boulevard Halifax, NS B3S 1G4 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Nena's Breakfast House,"273 Wyse Road Dartmouth, NS B3A 1N5 Canada"
Heppy's Pie Lady,"30 Herring Cove Rd Halifax, NS B3N 1T5 Canada"
Le Bistro By Liz,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Heng Fung Restaurant,"179 Wyse Road Dartmouth, NS B3A Canada"
McKelvie's,"1680 Lower Water Street Halifax, NS B3J 2Y3 Canada"
Monte's Showbar Grill,"245 Waverley Road Dartmouth, NS B2X 2C5 Canada"
Sukiyaki,"21 Micmac Boulevard Dartmouth, NS B3A 4N3 Canada"
The Narrows Bistro,"101 Wyse Road Dartmouth, NS B3A 1L9 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Darrell's,"5576 Fenwick Street Halifax, NS B3H 1P8 Canada"
East of Grafton Tavern,"1580 Argyle Street Halifax, NS B3J 1H5 Canada"
Cha Baa Thai,"1546 Queen St Halifax, NS B3J 2H8 Canada"
The Fourth Lock Bar & Restaurant,"3104 Highway 2 Fall River, NS B2T 1J5 Canada"
Gordies on the Wharf,"Fisherman's Cove 1 Government Wharf RD Eastern Passage, NS B3G Canada"
Orso Pub & Grill,"1859 Brunswick Street Halifax, NS B3J 2G8 Canada"
Dhaba,"8 Oland Crescent Halifax, NS B3S 1C6 Canada"
Blue Elephant,"81 Peakview Way Unit 100 Bedford, NS B3M 0G2 Canada"
Boneheads BBQ,"1014 Barrington St Halifax, NS B3H 2P9 Canada"
Gangnam Korean BBQ,"1261 Barrington Street Halifax, NS B3J 1Y2 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
East Coast Conch Restaurant & Bar,"771 Bedford Highway Bedford, NS B4A 1A1 Canada"
I Love Pho,"746 Bedford Highway Halifax, NS B3M 2L9 Canada"
Bluenose II Restaurant,"1824 Hollis Street Halifax, NS B3J 1W4 Canada"
The Red Asian Fusion Restaurant,"5169 South Street Halifax, NS B3J 1A2 Canada"
