restaurant_name,price_range,rating,total_reviews,location,province
The Keg Steakhouse + Bar,$$$,3.9 ,94,calgary,AB
Redheads Japa Cafe,$$,4.1 ,76,calgary,AB
Añejo Restaurant,$$,3.7 ,209,calgary,AB
Kingsmen Ale House,$$,4.8 ,15,lethbridge,AB
Firestone Restaurant and Bar,$$,3.3 ,48,lethbridge,AB
Telegraph Taphouse,$$,3.3 ,38,lethbridge,AB
Miro Bistro,$$$,4.4 ,17,lethbridge,AB
Two Guys & A Pizza Place,$$,4.1 ,61,lethbridge,AB
Dylan’s Piggyback Poutinerie,$$,3.6 ,9,lethbridge,AB
Sisters Pub & Grill,$$,4.4 ,8,lethbridge,AB
Browns Socialhouse Lethbridge West,$$,3.6 ,30,lethbridge,AB
Lighthouse Japanese Restaurant,$$,3.8 ,23,lethbridge,AB
Thuan Hoa,$$,4.0 ,21,lethbridge,AB
Cafe Verde,$$,3.6 ,28,lethbridge,AB
Spring Rolls,$$,4.1 ,15,lethbridge,AB
Imperial China,$$,3.4 ,12,lethbridge,AB
Moxies,$$,3.6 ,25,lethbridge,AB
Hudsons Canada’s Pub,$$,3.4 ,27,lethbridge,AB
Whitbie’s Fish & Chips,$$,3.9 ,22,lethbridge,AB
Dono Sushi,$$,4.0 ,27,lethbridge,AB
Legendary Wing King,$$,4.3 ,7,lethbridge,AB
Backstreet West Pub & Pizza,$$,3.8 ,9,lethbridge,AB
Mojo’s Craft Pub & Grill,$$,2.7 ,12,lethbridge,AB
Luigi’s Pizza & Steak House,$$,3.6 ,16,lethbridge,AB
Luigi’s Steakhouse,$$,3.4 ,18,lethbridge,AB
The Keg Steakhouse + Bar,$$,3.8 ,8,lethbridge,AB
Makisu Sushi,$$,3.3 ,14,lethbridge,AB
Browns Socialhouse Lethbridge South,$$$$,3.5 ,10,lethbridge,AB
Streatside Eatery,$$,3.9 ,9,lethbridge,AB
The Penny Coffee House,$$,4.1 ,25,lethbridge,AB
The Slice Bar & Grill,$$,3.5 ,8,lethbridge,AB
O-Sho,$$,3.2 ,12,lethbridge,AB
Mediterranean Mazza bar,$$,3.5 ,4,lethbridge,AB
Earls Kitchen + Bar,$$,3.0 ,11,lethbridge,AB
Baadshah Royal East Indian Cuisine,$$,3.3 ,8,lethbridge,AB
Montana’s,$$,1.5 ,32,lethbridge,AB
Coyotés Grill and Wok,$$,3.7 ,3,lethbridge,AB
Cora,$$,3.7 ,21,lethbridge,AB
Broxburn Vegetables & Cafe,$$,4.1 ,9,lethbridge,AB
Tony Roma’s,$$,2.5 ,15,lethbridge,AB
Mimi’s Restaurant,$,2.8 ,5,lethbridge,AB
Pizza Junction,$$,4.5 ,2,lethbridge,AB
The Keg Steakhouse & Bar,$$$,3.5 ,6,lethbridge,AB
Fatburger,$$,3.7 ,10,lethbridge,AB
Top Pizza & Spaghetti House,$$,2.6 ,18,lethbridge,AB
Nakagama’s Japanese Food & Giftware,$$,4.0 ,1,lethbridge,AB
Original Joe’s,$$,3.3 ,6,lethbridge,AB
Smitty’s,$$,3.4 ,5,lethbridge,AB
Joey’s Seafood Restaurants,$$,2.9 ,9,lethbridge,AB
Boston Pizza,$$,3.0 ,11,lethbridge,AB
IHOP,$$,2.4 ,8,lethbridge,AB
Dairy Queen Grill & Chill,$,1.0 ,1,lethbridge,AB
