restaurant_name,address
Tony Roma's,"17115 100 Avenue Northwest Edmonton, AB T5S 1T9 Canada"
Fu's Repair Shop,"9902 109 St NW Edmonton, AB T5K 1H5 Canada"
Memphis Blues Barbeque House,"16907 127 Street NW Edmonton, AB T6V 0T1 Canada"
Nhatrang Vietnamese Restaurant,"10120 111 Avenue NW Edmonton, AB T5G 0B3 Canada"
Old Beverly Cafe In & Out,"3908 118 Avenue Edmonton, AB T5W 0Z9 Canada"
Creekwood Pizza,"404 Chappelle Dr SW Edmonton, AB T6W 0Z3 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Japonais Bistro,"11806 Jasper Avenue Edmonton, AB T5K 0C1 Canada"
Liuyishou Hotpot Edmonton,"9700 105 Ave NW Suite 168 Edmonton, AB T5H 4J1 Canada"
The Bean's List,"10700 104 Avenue Bulding 5 Floor 2nd Mac Ewan University Edmonton, AB T5J 4S2 Canada"
Hansik,"13727 127St NW Edmonton, AB T6V 1A8 Canada"
Swiss 2 Go,"4306-118 Avenue Edmonton, AB T5W 1B2 Canada"
Co Chin Saigon,"10632 100 Street NW Edmonton, AB T5H 4L3 Canada"
Narayanni's,"10131-81 Avenue NW Edmonton, AB T6E 1W9 Canada"
Green Onion Cake Man,"9132 118 Avenue NW Edmonton, AB T5B 0V1 Canada"
Emma's Ethiopian Restaurant & Grocery,"12512 118 Avenue North West Edmonton, AB T5L 2K6 Canada"
Villa Bistro,"11520 100 Avenue Edmonton, AB T5K 0J7 Canada"
Creekwood Pizza,"404 Chappelle Dr SW Edmonton, AB T6W 0Z3 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
97 Hot Pot,"10602 97 Street NW Edmonton, AB T5H 2L6 Canada"
Smoke BBQ + Bar,"10266 103 Street NW Edmonton, AB T5J 0Y8 Canada"
Phoenix Diner,"10803 Jasper Avenue Edmonton, AB T5J 5G9 Canada"
Julian's Piano Bar,"11727 Kingsway Edmonton, AB T5G 3A1 Canada"
