restaurant_name,address
Jerusalem Restaurant,"955 Eglinton Avenue W York, ON M6C 2C4 Canada"
Thairoomgrand,"288 Eglinton Avenue W Toronto, ON M4R 1B2 Canada"
Liu,"533 College Street Toronto, ON M6G 1A8 Canada"
The Captain's Boil,"2655 Yonge St Toronto, ON M4P 2J6 Canada"
Mogouyan Hand-Pulled Noodles,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
Oyster Mine,"2035 Yonge Street Toronto, ON M4S 2A2 Canada"
Jjin Toast,"792 Bathurst Street Toronto, ON M5R 3G1 Canada"
Domaine Mamo,"581 Mt Pleasant Road Toronto, ON M4S 2M5 Canada"
Sunnyside Pavilion Cafe,"1755 Lake Shore Boulevard W Toronto, ON M6S 5A3 Canada"
Antler Kitchen & Bar,"1454 Dundas Street West Toronto, ON M6J 1Y6 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Pantheon Restaurant,"407 Danforth Avenue Toronto, ON M4K 1P1 Canada"
Library Bar,"100 Front Street W Fairmont Royal York Toronto, ON M5J 1E3 Canada"
The Hole In the Wall,"2867 Dundas Street W Toronto, ON M6P 1Y9 Canada"
Dine & Dim,"633 Gerrard St E Toronto, ON M4M 1Y2 Canada"
Chadwick's,"268 Howland Avenue Toronto, ON M5R 3B6 Canada"
Fullaluv Bar & Grill,"1709 Jane Street Toronto, ON M9N 2S3 Canada"
Mineral,"1027 Yonge Street Toronto, ON M4W 2K9 Canada"
The Monkey Bar,"3353 Yonge Street Toronto, ON M4N 2M6 Canada"
Betty’s East,"1301 Queen Street E Toronto, ON M4L 1C2 Canada"
12 Tables,"1552 Avenue Road Toronto, ON M5M 3X5 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Local 1794,"1794 Danforth Avenue Toronto, ON M4C 1H8 Canada"
The Bar Jokbal Night Market,"639 Yonge Street Toronto, ON M4Y 1Z9 Canada"
MIA Brunch Bar,"2140 Yonge Street North York, ON M4S 2A8 Canada"
Completo,"5 Coady Avenue Toronto, ON M4M 2Y9 Canada"
Rikki Tikki,"209 Augusta Avenue Toronto, ON M5T 2L4 Canada"
FET ZUN,"252 Dupont St Toronto, ON M5R 1V7 Canada"
Queen of Persia,"672A St Clair Avenue W Toronto, ON M6C 1B1 Canada"
Jerusalem Restaurant,"955 Eglinton Avenue W York, ON M6C 2C4 Canada"
Khau Gully,"1991 Yonge Street Toronto, ON M4S 1Z8 Canada"
Thairoomgrand,"288 Eglinton Avenue W Toronto, ON M4R 1B2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Liu,"533 College Street Toronto, ON M6G 1A8 Canada"
Steam Whistle Biergarten,"255 Bremner Boulevard Bay 7 Toronto, ON M5V 3M9 Canada"
The Captain's Boil,"2655 Yonge St Toronto, ON M4P 2J6 Canada"
Mogouyan Hand-Pulled Noodles,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
No data or change code,No data or change code
Jjin Toast,"792 Bathurst Street Toronto, ON M5R 3G1 Canada"
Domaine Mamo,"581 Mt Pleasant Road Toronto, ON M4S 2M5 Canada"
Sunnyside Pavilion Cafe,"1755 Lake Shore Boulevard W Toronto, ON M6S 5A3 Canada"
Antler Kitchen & Bar,"1454 Dundas Street West Toronto, ON M6J 1Y6 Canada"
No data or change code,No data or change code
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
El Venezolano,"818 Danforth Ave Toronto, ON M4J 1L6 Canada"
Benny’s Barbecue,"2409 Yonge Street Unit 106 Toronto, ON M4P 2E7 Canada"
Hot Pot Restaurant,"1545 Eglinton Avenue  W Toronto, ON M6E 2G8 Canada"
Sinjeon Topokki,"377 Church Street Unit 1 Toronto, ON M5B 1H9 Canada"
Dirty Food Eatery,"3070 Dundas Street W Toronto, ON M6P 1Z7 Canada"
The Rabbit Hole,"21 Adelaide Street W Toronto, ON M5H 1L6 Canada"
Juicy Dumpling,"280 Spadina Ave Unit M-N Toronto, ON M5T 0A1 Canada"
Café Zuzu,"555 Dundas Street E Toronto, ON M5A 2B7 Canada"
Sash,"1133 Yonge Street Toronto, ON M4T 1W1 Canada"
No data or change code,No data or change code
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Hana Don,"1800 Sheppard Ave E Unit 2020 Toronto, ON M2J 5A7 Canada"
Oakwood Hardware Food & Drink,"337 Oakwood Avenue Toronto, ON M6E 2V8 Canada"
The Queen And Beaver Public House,"35 Elm Street Toronto, ON M5G 1H1 Canada"
Pearl Diver,"100 Adelaide Street E Toronto, ON M5C 1K9 Canada"
Gusto 501,"501 King Street E Toronto, ON M5A 1L9 Canada"
11:59 Bar:Café,"70 Temperance Street Unit 1 Toronto, ON M5H 0B1 Canada"
Gurume Sushi,"45 Carlton Street unit 5 Toronto, ON M5B 2H9 Canada"
Knuckle Sandwich,"969 Coxwell Avenue Toronto, ON M4C 3G4 Canada"
El Charro,"788 Broadview ave Toronto, ON M4K 2P7 Canada"
Momo Hut & Gardens,"401 Danforth Avenue Danforth Toronto, ON M4K 1P1 Canada"
Authentic Greek & Mediterranean Eatery,"1585 Warden Avenue Unit 6 Scarborough, ON M1R 2S9 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Jollof King,"673 Spadina Avenue University of Toronto Toronto, ON M5S 2H9 Canada"
Borrel,"1333 Danforth Avenue Toronto, ON M4J 1N1 Canada"
Maison T,"1071 Shaw St Toronto, ON M6G 3N4 Canada"
QueenBee,"680 College Street Toronto, ON M6G 1C1 Canada"
Scaramouche Restaurant Pasta Bar & Grill,"1 Benvenuto Place Toronto, ON M4V 2L1 Canada"
Morgan's On the Danforth,"1282 Danforth Avenue Toronto, ON M4J 1M6 Canada"
Barcelona Gourmet,"777 Danforth Avenue Toronto, ON M4J 1L2 Canada"
Fat Pasha,"414 Dupont Street Toronto, ON M5R 1V9 Canada"
Sleepy Pete's,"69 Kensington Ave Toronto, ON M5T 2K2 Canada"
No data or change code,No data or change code
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Yasu,"81 Harbord Street Toronto, ON M5S 1G4 Canada"
Mirage Mediterranean Restaurant,"1620 Bayview Avenue Toronto, ON M4G 3B7 Canada"
Pizza Banfi,"333 Lonsdale Rd Toronto, ON M5P 1R3 Canada"
Daldongnae,"658 Bloor Street Toronto, ON M6G 1K9 Canada"
Sanuki Udon,"20 Carlton Street Toronto, ON M5B 2H5 Canada"
Seoul Food Take-Out,"606 Sherbourne Street Ground Level Toronto, ON M4X Canada"
Gyubee Japanese Grill - Bloor,"335 Bloor Street W Toronto, ON M5S 1W7 Canada"
No data or change code,No data or change code
Gaucho Pie,"346 Westmoreland Ave N Toronto, ON M6H 3A7 Canada"
Sorrel,"1158 Yonge Street Toronto, ON M4W 2L9 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nozomi Fusion Kitchen,"3415 Bathurst Street Toronto, ON M6A 2C1 Canada"
Mezes,"456 Danforth Avenue Toronto, ON M4K 1P4 Canada"
Eastside Social,"1008 Queen Street E Toronto, ON M4M 1K1 Canada"
Boukan,"774 Danforth Avenue Toronto, ON M4J 1L5 Canada"
Wynona,"819 Gerrard Street E Toronto, ON M4M 1Y8 Canada"
Omai Restaurant,"3 Baldwin Street Toronto, ON M5T 1L1 Canada"
Tacos Moras,"547 St Clair Avenue W Toronto, ON M6C 1A3 Canada"
Amsterdam Barrel House,"87 Laird Drive Toronto, ON M4G 3T7 Canada"
Corks Beer & Wine Bars,"93 Laird Drive Toronto, ON M4G 3V1 Canada"
Haidilao Hot Pot,"237 Yonge Street Toronto, ON M5B 1N8 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Natural Japaneats,"550 Bayview Avenue suite 300 Toronto, ON M4W 3X8 Canada"
Skylight Rooftop Bar,"90 Bloor Street E 9th Floor Toronto, ON M4W 1A7 Canada"
Los Vietnamita Taqueria Shop,"2644 Street Clair Avenue E York, ON M4B 3M1 Canada"
Hanamaru,"862 Pape Avenue East York, ON M4K 3T8 Canada"
Gyubee Japanese Grill - Dundas,"157 Dundas St W Toronto, ON M5B 1E4 Canada"
Tokyo Kitchen,"20 Charles Street E Toronto, ON M4Y 1T1 Canada"
Maha's,"226 Greenwood Avenue Toronto, ON M4L 2R2 Canada"
Yummy Korean Food Restaurant,"620 Bloor Street W Toronto, ON M6G 1K7 Canada"
El Nahual Tacos,"556 parliament st Toronto, ON M5S 1X2 Canada"
Okonomi House Restaurant,"23 Charles Street W Toronto, ON M4Y 2R4 Canada"
Authentic Greek & Mediterranean Eatery,"1585 Warden Avenue Unit 6 Scarborough, ON M1R 2S9 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Dave's Hot Chicken,"2066 Yonge Street Toronto, ON M4S 2A3 Canada"
k.Dinners,"463 Danforth Avenue Toronto, ON M4K 1P1 Canada"
Bad Blowfish,"1595 Bayview Avenue Toronto, ON M4G 3B5 Canada"
FK,"770 St Clair Avenue W Toronto, ON M6C 1B5 Canada"
Meta Dos Leitoes,"218 Geary Avenue Toronto, ON M6H 2C3 Canada"
Pho Anh Vu,"3200 Dufferin Street Toronto, ON M6A 3B2 Canada"
Completo,"337 Broadview Ave Toronto, ON M4M 2H1 Canada"
Sang-Ji Fried Bao,"3 Charles Street E Toronto, ON M4Y 2G1 Canada"
TAO Northern Chinese Cuisine,"220 Laird Drive Toronto, ON M4G 3X2 Canada"
Old Town Bodega,"402 King St E Toronto, ON M5A 1L4 Canada"
Authentic Greek & Mediterranean Eatery,"1585 Warden Avenue Unit 6 Scarborough, ON M1R 2S9 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
EAT BKK Thai Kitchen,"4704 Yonge Street Toronto, ON M2N 5M4 Canada"
RH Courtyard Restaurant at RH Toronto,"3401 Dufferin Street RH Toronto Toronto, ON M6A 2T9 Canada"
CANO Restaurant,"1108 St Clair Avenue W Toronto, ON M6E 1A7 Canada"
Mogouyan Hand-Pulled Noodles,"760 Yonge Street Toronto, ON M4Y 2B6 Canada"
The Wren,"1382 Danforth Avenue Toronto, ON M4J 1M9 Canada"
Gushi Japanese Street Food,"296 Gerrard Street East Toronto, ON M5A 2G4 Canada"
The Eagle Twins Restaurant,"954 St Clair Avenue W Toronto, ON M6E 1A1 Canada"
Shibui Eatery + Sushi Bar,"600 Mount Pleasant Road Toronto, ON M4S 2M8 Canada"
Bar Chica,"75 Portland Street Toronto, ON M5V 2M9 Canada"
Ramen Buta-Nibo,"547 Danforth Avenue Toronto, ON M4K 1P7 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Itacate,"998 St. Clair Avenue W Toronto, ON M6E 1A2 Canada"
Mapo Gamjatang,"4916 Yonge Street Toronto, ON M2N 5N5 Canada"
Casa Loma,"1 Austin Terr Toronto, ON M5R 1X8 Canada"
Mabu Generation,"575 Yonge Street Toronto, ON M4Y 1Z3 Canada"
Lil Joe Cucina & Bar,"1054 Gerrard Street E Toronto, ON M4M 1K8 Canada"
Nomé Izakaya,"4848 Yonge Street Toronto, ON M2N 5N2 Canada"
The House On Parliament,"454 Parliament Street Toronto, ON M5A 3A2 Canada"
