restaurant_name,price_range,rating,total_reviews,category,location,province,address
Kissa Tanto,$$$$,4.1,279,Japanese,vancouver,BC,"263 E Pender Street Vancouver, BC V6A 1T8 Canada"
PiDGiN,$$$,4,320,Japanese,vancouver,BC,"350 Carrall Street Vancouver, BC V6B 2J3 Canada"
Sura Korean Cuisine,$$,4.1,428,Korean,vancouver,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada"
Sura Korean Cuisine,$$,4.1,428,Korean,vancouver,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada"
Bali Thai,$,4.5,91,Indonesian,vancouver,BC,"88 W Pender Street Vancouver, BC V6B 1R3 Canada"
Damso Modern Korean Cuisine,$$,3.9,203,Korean,vancouver,BC,"867 Denman Street Vancouver, BC V6G 2L9 Canada"
The Locus,$$,3.9,266,Lounges,vancouver,BC,"4121 Main Street Vancouver, BC V5V 3P6 Canada"
Thierry,$$,4,942,Patisserie/Cake Shop,vancouver,BC,"1059 Alberni Street Vancouver, BC V6E 1A1 Canada"
Honey Salt,$$,3.5,266,Canadian (New),vancouver,BC,"39 Smithe Street Vancouver, BC V6B 0R3 Canada"
Little Bird Dim Sum,$$,3.9,71,Dim Sum,vancouver,BC,"2958 W 4th Avenue Vancouver, BC V6K 1R4 Canada"
ARC Restaurant,$$$,4,167,Canadian (New),vancouver,BC,"900 Canada Place Way Vancouver, BC V6C 3L5 Canada"
Cafe FortyOne,$$,4.5,21,Mediterranean,vancouver,BC,"5750 Oak Street Vancouver, BC V6M 2V9 Canada"
Cuchillo,$$,4.2,287,Latin American,vancouver,BC,"261 Powell Street Vancouver, BC V6A 2Z1 Canada"
Jamjar - Folk Lebanese Food,$$,3.8,257,Lebanese,vancouver,BC,"2280 Commercial Drive Vancouver, BC V5N 4B6 Canada"
Robba da Matti,$$$,4.2,491,Italian,vancouver,BC,"1127 Mainland Street Vancouver, BC V6B 5P2 Canada"
La Mezcaleria,$$,3.8,292,Mexican,vancouver,BC,"1622 Commercial Drive Vancouver, BC V5L 3Y4 Canada"
Absinthe Bistro,$$$,4.6,137,French,vancouver,BC,"952 Commercial Drive Vancouver, BC V5L 3W7 Canada"
Ramen Danbo,$$,4.2,413,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada"
Ramen Danbo,$$,4.2,413,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada"
Guu Original Thurlow,$$,4.1,789,Japanese,vancouver,BC,"838 Thurlow Street Vancouver, BC V6E 1W2 Canada"
Jules French Bistro,$$,3.9,227,French,vancouver,BC,"216 Abbott Street Vancouver, BC V6B 2K8 Canada"
Joong Won,$$,3.9,75,Korean,vancouver,BC,"1329 Robson Street Vancouver, BC V6E 1C6 Canada"
A.Bento,$$,4,26,Taiwanese,vancouver,BC,"656W Broadway Vancouver, BC V5Z 1G1 Canada"
Lamajoun,$,4.7,93,Mediterranean,vancouver,BC,"128-11782 River Road Richmond, BC V6X 1Z7 Canada"
Harambe Restaurant,$$,3.8,135,Ethiopian,vancouver,BC,"2149 Commercial Drive Vancouver, BC V5N 4B3 Canada"
The Roof,$$$,3.8,80,Seafood,vancouver,BC,"1032 Alberni Street Vancouver, BC V6Z 1X6 Canada"
Tetsu Sushi Bar,$$$$,4.3,102,Japanese,vancouver,BC,"775 Denman Street Vancouver, BC V6G 2L6 Canada"
Maizal RMF,$$,4.3,145,Mexican,vancouver,BC,"2815 Main Street Vancouver, BC V5T 3G1 Canada"
Sawasdee Thai Restaurant,$$,4,334,Thai,vancouver,BC,"4250 Main Street Vancouver, BC V5V 3P9 Canada"
Do Chay,$$,4.4,157,Vietnamese,vancouver,BC,"1392 Kingsway Vancouver, BC V5V 3E4 Canada"
MeeT in Gastown,$$,4.1,491,Comfort Food,vancouver,BC,"12 Water Street Vancouver, BC V6B 1A5 Canada"
The Vancouver Fish Company,$$$,3.6,258,Seafood,vancouver,BC,"1517 Anderson St Vancouver, BC V6H Canada"
JOEY Burrard,$$,4.1,554,Canadian (New),vancouver,BC,"820 Burrard St Vancouver, BC V6Z 1X9 Canada"
Marché Mon Pitou,$$,4.3,36,Cafes,vancouver,BC,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada"
Ash Street Bistro,$$,4.5,11,Bistros,vancouver,BC,"Legacy Senior Living 611 W 41st Avenue Vancouver, BC V5Z Canada"
Hawksworth Restaurant,$$$,4.1,642,Canadian (New),vancouver,BC,"801 W Georgia Street Vancouver, BC V6C 1P7 Canada"
Five Sails Restaurant,$$$$,4.4,179,French,vancouver,BC,"401-999 Canada Place Vancouver, BC V6C 3E1 Canada"
Gyu-Kaku Japanese BBQ,$$,4,390,Japanese,vancouver,BC,"G3-888 Nelson Street Vancouver, BC V6Z 2H1 Canada"
Black Frog Eatery,$$,3.8,214,Pubs,vancouver,BC,"108 Cambie Street Vancouver, BC V6B 2M8 Canada"
Browns Crafthouse Seymour,$$,4,44,Beer Bar,vancouver,BC,"580 West Pender Downtown Vancouver, BC V6B 1W7 Canada"
Fat Mao Noodles,$$,3.9,228,Asian Fusion,vancouver,BC,"938 Helmcken Street Vancouver, BC V6Z 2S5 Canada"
Fat Mao Noodles,$$,3.9,228,Asian Fusion,vancouver,BC,"217 E Georgia Street Vancouver, BC V6A 1Z6 Canada"
Kin Kao Thai Kitchen,$$,4,161,Thai,vancouver,BC,"903 Commercial Drive Vancouver, BC V5L Canada"
Caveman Cafe,$$,4.4,271,Organic Stores,vancouver,BC,"88 W Pender Street Unit 1005 Vancouver, BC V6B 6N8 Canada"
Los Amigos Taqueria,$$,4,121,Mexican,vancouver,BC,"1118 Davie Street Vancouver, BC V6E 1N1 Canada"
Salade de Fruits Cafe,$$,4.2,175,French,vancouver,BC,"1551 West 7th Avenue Vancouver, BC V6J 1S1 Canada"
Green Leaf Sushi,$$,4,394,Sushi Bars,vancouver,BC,"3416 W Broadway Vancouver, BC V6R 2B3 Canada"
Grub,$$,4.2,181,Italian,vancouver,BC,"4328 Main Street Vancouver, BC V5V 3P9 Canada"
Kozak Ukraïnian Eatery,$$,4.4,30,Ukrainian,vancouver,BC,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada"
Indian Delicacy,$$,4.5,105,Indian,vancouver,BC,"1130 West pender st Vancouver, BC V6E 4A4 Canada"
Cactus Club Cafe,$$,4.1,475,Canadian (New),vancouver,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada"
Cactus Club Cafe,$$,4.1,475,Canadian (New),vancouver,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada"
Peaked Pies,$$,4.4,196,Australian,vancouver,BC,"975 Denman Street Vancouver, BC V6G Canada"
La Taqueria Pinche Taco Shop,$$,4.2,681,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada"
Little Jumbo,$$$,4.4,275,Canadian (New),victoria,BC,"506 Fort Street Suite 102 Victoria, BC V8W 1E6 Canada"
Red Fish Blue Fish,$$,4.5,1300,Fish & Chips,victoria,BC,"1006 Wharf Street Victoria, BC V8W 1T4 Canada"
Nubo Japanese Tapas,$$,4.4,395,Sushi Bars,victoria,BC,"739 Pandora Avenue Victoria, BC V8W 1N9 Canada"
Il Terrazzo Ristorante,$$$,4.5,614,Italian,victoria,BC,"555 Johnson Street Victoria, BC V8W 1M2 Canada"
Ithaka Greek Restaurant,$$,4.5,144,Greek,victoria,BC,"716 Burdett Avenue Victoria, BC V8W 3G2 Canada"
Bodega,$$,4.5,133,Tapas/Small Plates,victoria,BC,"1210 Broad Street Victoria, BC V8W 2A4 Canada"
Fishhook,$$,4.5,309,Seafood,victoria,BC,"805 Fort Street Victoria, BC V8W 1H6 Canada"
Blue Fox Cafe,$$,4.4,817,Breakfast & Brunch,victoria,BC,"919 Fort Street Suite 101 Victoria, BC V8V 3K3 Canada"
Foo,$$,4,174,Asian Fusion,victoria,BC,"769 Yates Street Victoria, BC V8W 1L6 Canada"
Little Yunnan Restaurant,$$,4.5,130,Asian Fusion,victoria,BC,"546 Fisgard St Victoria, BC V8W 1R4 Canada"
10 Acres Bistro,$$,3.9,502,Brasseries,victoria,BC,"611 Courtney Street Victoria, BC V8W 1B7 Canada"
Il Covo Trattoria,$$,4.2,163,Italian,victoria,BC,No data or change code
